Unnamed: 0,id,name,rank,visitor,blog,menu,explain,price,jibun_address,patty,wordlist,latitude,longitude
252,37386503,버거애,0.0,771,362,슈림프스테이크버거(단품),버거단품,"10,300원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
253,37386503,버거애,0.0,771,362,Real 슈림프버거,버거 단품,"9,300원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
254,37386503,버거애,0.0,771,362,아보카도버거(단품),햄버거 단품,"9,300원",백석동 1153,소고기 패티,햄버거,37.6494562134876,126.791021536655
255,37386503,버거애,0.0,771,362,더블치즈베이컨버거(단품),버거단품,"9,400원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
256,37386503,버거애,0.0,771,362,해쉬브라운베이컨버거(단품),버거단품,"8,900원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
257,37386503,버거애,0.0,771,362,더블치즈버거(단품),버거단품,"8,400원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
258,37386503,버거애,0.0,771,362,머쉬룸버거(단품),버거단품,"8,300원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
259,37386503,버거애,0.0,771,362,치즈베이컨버거(단품),버거단품,"8,100원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
260,37386503,버거애,0.0,771,362,올인원버거(단품),수제버거 단품,"7,800원",백석동 1153,소고기 패티,수제,37.6494562134876,126.791021536655
261,37386503,버거애,0.0,771,362,치즈버거(단품),버거단품,"7,100원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
262,37386503,버거애,0.0,771,362,클래식버거(단품),버거단품,"6,600원",백석동 1153,소고기 패티,,37.6494562134876,126.791021536655
265,37386503,버거애,0.0,771,362,버거애 프라이즈,"아메리칸치즈 ,볶은양파,하우스소스","5,000원",백석동 1153,소고기 패티,아메리칸 치즈 볶다 양파 하우스 소스,37.6494562134876,126.791021536655
328,33880194,버거인뉴욕,0.0,"2,508","2,290",뉴욕버거,기본 치즈버거와 신선한 토마토 그위에 소스로 상큼하고 담백함을 느낄 수 있는 기본버거,"11,000원",중동 1404-39,소고기 패티,기본 치즈버거 신선하다 토마토 소스 상큼 하고 담백하다 느끼다 보다,35.1609015460555,129.16468750559
329,33880194,버거인뉴욕,0.0,"2,508","2,290",스페셜버거,뉴욕버거와 베이컨 치즈버거의 만남. 신선한 야채와 진한 패티와 베이컨이 어우러진 버거,"12,000원",중동 1404-39,소고기 패티,뉴욕 베이컨 치즈버거 신선하다 야채 진하다 패티 어우러지다,35.1609015460555,129.16468750559
330,33880194,버거인뉴욕,0.0,"2,508","2,290",베이컨치즈버거,기본 치즈버거와 그릴에 구운 베이컨과 양파로 진한 패티의 맛을 느낄 수 있는 버거,"12,000원",중동 1404-39,소고기 패티,기본 치즈버거 그릴 베이컨 양파 진하다 패티 느끼다,35.1609015460555,129.16468750559
342,1164659244,버거주의,4.59,186,67,더치패이버거 [시그니처],[시그니처] 소고기패티X2 + 아메리칸치즈X2 + 데리야끼,"10,000원",천호동 410-32,소고기 패티,소고기 패티 아메리칸 치즈 데리,37.5389409200372,127.127797137463
343,1164659244,버거주의,4.59,186,67,리얼통새우버거,통새우 + 소고기패티 + 아메리칸치즈 + 데리야끼 + 스파이시마요,"10,000원",천호동 410-32,소고기 패티,새우 소고기 패티 아메리칸 치즈 데리야끼 스파이 시마,37.5389409200372,127.127797137463
344,1164659244,버거주의,4.59,186,67,하우버거 [시그니처],새우튀김패티 + 소고기패티 + 아메리칸치즈 + 데리야끼 + 와사비마요,"10,000원",천호동 410-32,소고기 패티,새우 튀김 패티 소고기 아메리칸 치즈 데리야끼 와사비,37.5389409200372,127.127797137463
345,1164659244,버거주의,4.59,186,67,스파이시버거,소고기패티 + 매운양파소스 + 데리야끼 + 아메리칸치즈,"7,500원",천호동 410-32,소고기 패티,소고기 패티 맵다 양파 소스 데리야끼 아메리칸 치즈,37.5389409200372,127.127797137463
346,1164659244,버거주의,4.59,186,67,치즈버거,소고기패티 + 아메리칸치즈 + 데리야끼,"6,500원",천호동 410-32,소고기 패티,소고기 패티 아메리칸 치즈 데리,37.5389409200372,127.127797137463
347,1164659244,버거주의,4.59,186,67,[New] 텐더버거,치킨텐더 + 스파이시마요,"7,500원",천호동 410-32,치킨 패티,치키다 스파이 시마,37.5389409200372,127.127797137463
363,1269964032,버거타임,4.45,663,80,클래식 수제버거,아메리칸치즈+소고기패티+양상추+로메인+양파+피클+토마토+하우스소스,"8,400원",고덕동 210-1,소고기 패티,아메리칸 치즈 소고기 패티 양상추 로메 양파 피클 토마토 하우스 소스,37.5576094801473,127.170103050262
364,1269964032,버거타임,4.45,663,80,디럭스 수제버거,아메리칸치즈+소고기패티+베이컨+양상추+로메인+양파+피클+토마토+하우스소스+매운 수제불고기소스,"10,000원",고덕동 210-1,소고기 패티,아메리칸 치즈 소고기 패티 베이컨 양상추 로메 양파 피클 토마토 하우스 소스 맵다 수제 불고기,37.5576094801473,127.170103050262
365,1269964032,버거타임,4.45,663,80,불고기 수제버거,소고기패티+양상추+로메인+양파+수제불고기소스,"7,900원",고덕동 210-1,소고기 패티,소고기 패티 양상추 로메 양파 수제 불고기 소스,37.5576094801473,127.170103050262
366,1269964032,버거타임,4.45,663,80,핫불고기 수제버거,소고기패티+양상추+로메인+양파+수제매운불고기소스,"8,300원",고덕동 210-1,소고기 패티,소고기 패티 양상추 로메 양파 수제 맵다 불고기 소스,37.5576094801473,127.170103050262
367,1269964032,버거타임,4.45,663,80,치즈 수제버거,아메리칸치즈+소고기패티+양파+피클+하우스소스,"7,600원",고덕동 210-1,소고기 패티,아메리칸 치즈 소고기 패티 양파 피클 하우스 소스,37.5576094801473,127.170103050262
